optimization,case,path,sample,edges,local_depth,cpu_ps,wall_ns,allocated_bytes,source_work,executor_operations,executor_reserved,lookup_comparisons,constructions,hits,resident_entries,resident_cells,resident_trace_slots
O0,small,uncached,1,8,4,1880976000,1820659,5504168,512,3864,302584,0,8,0,0,0,0
O0,small,uncached,2,8,4,1778960000,1776835,5504024,512,3864,302584,0,8,0,0,0,0
O0,small,uncached,3,8,4,1770816000,1768435,5504024,512,3864,302584,0,8,0,0,0,0
O0,small,cold,1,8,4,1048272000,1046210,3935152,512,4520,527880,14,1,7,1,4,136
O0,small,cold,2,8,4,1049120000,1047026,3935152,512,4520,527880,14,1,7,1,4,136
O0,small,cold,3,8,4,1068320000,1065874,3935152,512,4520,527880,14,1,7,1,4,136
O0,small,warm,1,8,4,930800000,928450,3706312,512,4458,559755,16,0,8,1,4,136
O0,small,warm,2,8,4,928640000,926513,3706312,512,4458,559755,16,0,8,1,4,136
O0,small,warm,3,8,4,921824000,919457,3706312,512,4458,559755,16,0,8,1,4,136
O0,large,uncached,1,16,16,7601552000,7588047,45561312,4864,36144,2868464,0,16,0,0,0,0
O0,large,uncached,2,16,16,7317104000,7293070,45557464,4864,36144,2868464,0,16,0,0,0,0
O0,large,uncached,3,16,16,7012672000,6991422,45557464,4864,36144,2868464,0,16,0,0,0,0
O0,large,cold,1,16,16,3517504000,3516742,30021264,4864,41856,5118456,30,1,15,1,4,640
O0,large,cold,2,16,16,3588432000,3565942,30021264,4864,41856,5118456,30,1,15,1,4,640
O0,large,cold,3,16,16,3537536000,3536790,30021264,4864,41856,5118456,30,1,15,1,4,640
O0,large,warm,1,16,16,3242160000,3227590,28959752,4864,41554,5267091,32,0,16,1,4,640
O0,large,warm,2,16,16,3212704000,3212038,28959752,4864,41554,5267091,32,0,16,1,4,640
O0,large,warm,3,16,16,3208896000,3207862,28959752,4864,41554,5267091,32,0,16,1,4,640
O2,small,uncached,1,8,4,340928000,336705,1239264,512,3864,302584,0,8,0,0,0,0
O2,small,uncached,2,8,4,340976000,339201,1239120,512,3864,302584,0,8,0,0,0,0
O2,small,uncached,3,8,4,326176000,324481,1239120,512,3864,302584,0,8,0,0,0,0
O2,small,cold,1,8,4,219136000,217280,1035488,512,4520,527880,14,1,7,1,4,136
O2,small,cold,2,8,4,208336000,206529,1035488,512,4520,527880,14,1,7,1,4,136
O2,small,cold,3,8,4,206448000,204640,1035488,512,4520,527880,14,1,7,1,4,136
O2,small,warm,1,8,4,183600000,181760,999944,512,4458,559755,16,0,8,1,4,136
O2,small,warm,2,8,4,183872000,182113,999944,512,4458,559755,16,0,8,1,4,136
O2,small,warm,3,8,4,182720000,181440,999944,512,4458,559755,16,0,8,1,4,136
O2,large,uncached,1,16,16,2608592000,2606389,10881528,4864,36144,2868464,0,16,0,0,0,0
O2,large,uncached,2,16,16,2617584000,2615861,10877680,4864,36144,2868464,0,16,0,0,0,0
O2,large,uncached,3,16,16,2618624000,2596805,10877680,4864,36144,2868464,0,16,0,0,0,0
O2,large,cold,1,16,16,1429328000,1428003,8836288,4864,41856,5118456,30,1,15,1,4,640
O2,large,cold,2,16,16,1429936000,1428547,8836288,4864,41856,5118456,30,1,15,1,4,640
O2,large,cold,3,16,16,1434976000,1433555,8836288,4864,41856,5118456,30,1,15,1,4,640
O2,large,warm,1,16,16,1286960000,1268642,8672680,4864,41554,5267091,32,0,16,1,4,640
O2,large,warm,2,16,16,1265600000,1264290,8672680,4864,41554,5267091,32,0,16,1,4,640
O2,large,warm,3,16,16,1262144000,1260755,8672680,4864,41554,5267091,32,0,16,1,4,640
